1,187727.42152396636
2,187727.42152396636
3,145871.86857019053
4,145871.86857019053
5,145871.86857019053
6,145871.86857019053
7,145871.86857019053
8,145871.86857019053
9,145871.86857019053
10,145871.86857019053
11,145871.86857019053
12,145871.86857019053
13,145871.86857019053
14,145871.86857019053
15,145871.86857019053
16,144966.0144344225
17,144966.0144344225
18,144966.0144344225
19,144966.0144344225
20,144966.0144344225
21,144966.0144344225
22,144966.0144344225
23,144966.0144344225
24,144966.0144344225
25,140816.51749055166
26,140816.51749055166
27,140816.51749055166
28,140816.51749055166
29,140816.51749055166
30,140816.51749055166
31,140816.51749055166
32,140816.51749055166
33,140816.51749055166
34,140816.51749055166
35,140816.51749055166
36,140816.51749055166
37,140816.51749055166
38,140816.51749055166
39,140816.51749055166
40,140816.51749055166
41,140816.51749055166
42,140816.51749055166
43,140816.51749055166
44,140816.51749055166
45,140816.51749055166
46,140816.51749055166
47,140816.51749055166
48,140816.51749055166
49,140816.51749055166
50,140816.51749055166
